team_slug,podcast_name,category,rss_url,notes
los-angeles-rams,Rams Up! Podcast,independent,https://feeds.megaphone.fm/RRTET5799178239,
san-francisco-49ers,The Gold Standard Network,independent,https://feeds.megaphone.fm/RRTET2329121907,
seattle-seahawks,Sea Hawkers Podcast,independent,https://seahawkerspodcast.libsyn.com/rss,
new-england-patriots,Patriots Press Pass by CLNS,independent,https://feeds.megaphone.fm/CLN8182547804,
new-york-jets,Locked On Jets,locked_on,https://feeds.simplecast.com/x5WGS9vX,
baltimore-ravens,The Vault: A Podcast Covering the Baltimore Ravens,independent,https://feeds.simplecast.com/FLv6o1WR,
cleveland-browns,Cleveland Browns Daily,independent,https://feeds.megaphone.fm/BVLLC1460127873,
pittsburgh-steelers,Steel Curtain Network Podcast,independent,https://feeds.megaphone.fm/btsc-steelers,
indianapolis-colts,Colts Blue Zone,independent,https://rss.art19.com/colts-blue-zone-podcast,
tennessee-titans,Locked On Titans,locked_on,https://feeds.simplecast.com/ZHgqzawD,
kansas-city-chiefs,Roughing the Kicker,independent,https://www.spreaker.com/show/3010049/episodes/feed,
philadelphia-eagles,Locked on Eagles,locked_on,https://feeds.simplecast.com/yy6iqCPY,
washington-commanders,Locked On Commanders,locked_on,https://feeds.simplecast.com/psq7p3Ar,
chicago-bears,The Bernstein & Harris Show (Bears Segments),independent,https://feeds.audacyinc.com/bernstein-harris-show,
green-bay-packers,Blue 58,independent,https://feeds.acast.com/public/shows/59ca8dc677c5a6bd526268d7,
atlanta-falcons,The SportsTalkATL Podcast,independent,https://feeds.captivate.fm/sportstalkatl/,
carolina-panthers,One Day Contract,independent,https://anchor.fm/s/544b394/podcast/rss,
new-orleans-saints,Saints Show,independent,https://www.spreaker.com/show/5531028/episodes/feed,
arizona-cardinals,The Dave Pasch Podcast,independent,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/07fdc85c-0e9f-4d31-a37b-aeac01359fd8/464906ee-75d4-48df-be00-aeac01359fe1/podcast.rss,
los-angeles-rams,Between the Horns,independent,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/30a68660-be74-4c62-b35c-aeac015c4dbd/e4986ba2-5d75-41a1-a722-aeac015c4dcb/podcast.rss,
san-francisco-49ers,Nitty Gritty Niners Talk,independent,https://anchor.fm/s/3c918bec/podcast/rss,
new-england-patriots,Patriots Playbook (Official),official,https://omny.fm/shows/patriots-playbook/playlists/podcast.rss,
new-england-patriots,Locked on patriots,locked_on,https://feeds.simplecast.com/wbru9pmV,
